-0.026290 5 86
0.868275 6 93
-0.438252 7 113
0.488177 8 117
0.005851 9 128
0.006602 10 141
0.055402 11 154
0.001601 12 167
-0.576553 13 178
0.539406 14 190
-0.235823 15 203
0.047856 16 215
0.015856 17 228
0.032620 18 240
0.232138 19 251
0.642370 20 264
-0.105759 21 278
-0.067456 22 290
-0.005879 23 302
-0.351741 24 325
0.255218 25 327
-0.012217 26 338
-0.114044 27 352
-0.116953 28 389
-0.304688 29 376
0.094136 30 424
-0.014738 31 401
-0.003436 32 413
-0.290575 33 904
-0.099932 34 656
-0.044282 35 586
0.044872 36 618
-0.030662 37 475
0.005303 38 488
0.133732 39 500
0.009843 40 526
-0.267326 41 526
-0.082971 42 538
0.007107 43 550
0.042448 44 572
0.036861 45 574
-0.172544 46 588
-0.140007 47 599
0.147044 48 612
0.074038 49 624
0.119118 50 637
-0.118740 51 649
0.087483 52 671
0.047814 53 674
-0.237926 54 686
-0.074811 55 699
-0.053365 56 713
0.032155 57 724
-0.181284 58 737
-0.167767 59 751
-0.086174 60 766
0.136713 61 1353
-0.062577 62 788
0.056491 63 812
0.217984 64 1343
-0.127914 65 824
-0.013408 66 848
0.069642 67 849
0.106811 68 867
0.120507 69 1074
-0.000074 70 909
-0.049372 71 922
-0.208937 72 951
0.007647 73 951
0.063835 74 960
-0.095690 75 973
0.122361 76 983
-0.023005 77 970
-0.076912 78 994
-0.080204 79 996
-0.119755 80 1095
-0.051437 81 3078
0.061896 82 1589
0.047034 83 1962
-0.178672 84 1452
-0.013715 85 1683
-0.133166 86 1950
-0.096337 87 1786
-0.158527 88 9828
-0.133874 89 2022
-0.104696 90 2956
-0.162609 91 2095
0.226846 92 2147
-0.261900 93 2210
-0.082146 94 2263
0.089297 95 2546
0.213562 96 2254
-0.215945 97 1245
0.004106 98 1268
0.027331 99 1268
